Appl_Type~Appl_No~Product_No~Patent_No~Patent_Expire_Date_Text~Drug_Substance_Flag~Drug_Product_Flag~Patent_Use_Code~Delist_Flag
N~020031~003~6121291~Mar 17, 2017~~~U-431~
N~020031~003~6121291~Mar 17, 2017~~~U-286~
N~020031~004~6121291~Mar 17, 2017~~~U-431~
N~020031~004~6121291~Mar 17, 2017~~~U-286~
N~020031~005~6121291~Mar 17, 2017~~~U-431~
N~020031~005~6121291~Mar 17, 2017~~~U-286~
N~020180~001~5942519~Oct 23, 2018~~~U-280~
N~020182~001~6335369~Jan 18, 2021~~~U-433~
N~020182~001~6429230~Jan 18, 2021~~~U-433~
N~020182~001~6696493~Jan 18, 2021~~~U-433~
N~020221~001~5994409~Dec 8, 2017~~~U-305~
N~020221~002~5994409~Dec 8, 2017~~~U-305~
N~020239~001~5952340~Sep 14, 2016~~~U-519~
N~020239~002~5952340~Sep 14, 2016~~~U-519~
N~020239~004~5952340~Sep 14, 2016~~~U-519~
N~020281~001~6339105~Oct 12, 2019~~~U-435~
N~020281~002~6339105~Oct 12, 2019~~~U-435~
N~020364~002~6162802~Dec 19, 2017~~~U-367~
N~020364~003~6162802~Dec 19, 2017~~~U-367~
N~020364~004~6162802~Dec 19, 2017~~~U-367~
N~020364~005~6162802~Dec 19, 2017~~~U-367~
N~020364~006~6162802~Dec 19, 2017~Y~Y~U-185~
N~020364~007~6162802~Dec 19, 2017~Y~Y~U-185~
N~020381~001~6080428~May 27, 2017~~~U-331~
N~020381~002~6080428~May 27, 2017~~~U-1141~
N~020381~002~6080428~May 27, 2017~~~U-1140~
N~020381~002~6080428~May 27, 2017~~~U-1139~
N~020381~002~6080428~May 27, 2017~~~U-1138~
N~020381~002~6080428~May 27, 2017~~~U-331~
N~020381~002~6469035~Mar 15, 2018~~~U-1145~
N~020381~002~6469035~Mar 15, 2018~~~U-1144~
N~020381~002~6469035~Mar 15, 2018~~~U-1143~
N~020381~002~6469035~Mar 15, 2018~~~U-1142~
N~020381~002~6469035~Mar 15, 2018~~~U-768~
N~020381~003~6080428~May 27, 2017~~~U-1140~
N~020381~003~6080428~May 27, 2017~~~U-1139~
N~020381~003~6080428~May 27, 2017~~~U-1138~
N~020381~003~6080428~May 27, 2017~~~U-1141~
N~020381~003~6080428~May 27, 2017~~~U-331~
N~020381~003~6469035~Mar 15, 2018~~~U-1144~
N~020381~003~6469035~Mar 15, 2018~~~U-1145~
N~020381~003~6469035~Mar 15, 2018~~~U-1143~
N~020381~003~6469035~Mar 15, 2018~~~U-1142~
N~020381~003~6469035~Mar 15, 2018~~~U-768~
N~020381~004~6080428~May 27, 2017~~~U-1140~
N~020381~004~6080428~May 27, 2017~~~U-1141~
N~020381~004~6080428~May 27, 2017~~~U-1139~
N~020381~004~6080428~May 27, 2017~~~U-1138~
N~020381~004~6080428~May 27, 2017~~~U-331~
N~020381~004~6469035~Mar 15, 2018~~~U-1143~
N~020381~004~6469035~Mar 15, 2018~~~U-1144~
N~020381~004~6469035~Mar 15, 2018~~~U-1145~
N~020381~004~6469035~Mar 15, 2018~~~U-1142~
N~020381~004~6469035~Mar 15, 2018~~~U-768~
N~020381~005~6080428~May 27, 2017~~~U-331~
N~020468~001~5976573~Jul 3, 2016~~Y~U-896~
N~020468~001~5976573~Jul 3, 2016~~Y~U-295~
N~020468~001~6143329~Jul 3, 2016~~Y~U-896~
N~020468~001~7977045~Jul 3, 2016~~Y~U-896~
N~020785~002~6869399~Oct 23, 2020~~~U-731~
N~020785~002~6908432~Aug 28, 2018~~~U-731~
N~020785~002~6908432~Aug 28, 2018~~~U-371~
N~020785~002~7141018~Oct 23, 2020~~~U-733~
N~020785~002~7141018~Oct 23, 2020~~~U-732~
N~020785~002~7141018~Oct 23, 2020~~~U-731~
N~020785~002~7141018~Oct 23, 2020~~~U-371~
N~020785~002~7435745~Nov 3, 2017~~~U-899~
N~020785~002~7874984~Aug 28, 2018~~~U-733~
N~020785~002~7874984~Aug 28, 2018~~~U-732~
N~020785~002~7874984~Aug 28, 2018~~~U-442~
N~020785~002~7874984~Aug 28, 2018~~~U-1109~
N~020785~002~7874984~Aug 28, 2018~~~U-371~
N~020785~002~7959566~Oct 23, 2020~~~U-1155~
N~020785~002~8204763~Aug 28, 2018~~~U-1249~
N~020785~002~8315886~Oct 23, 2020~~~U-1249~
N~020785~003~6045501~Aug 28, 2018~~~U-731~
N~020785~003~6045501~Aug 28, 2018~~~U-371~
N~020785~003~6315720~Oct 23, 2020~~~U-731~
N~020785~003~6315720~Oct 23, 2020~~~U-442~
N~020785~003~6561976~Aug 28, 2018~~~U-731~
N~020785~003~6561976~Aug 28, 2018~~~U-371~
N~020785~003~6561977~Oct 23, 2020~~~U-731~
N~020785~003~6561977~Oct 23, 2020~~~U-371~
N~020785~003~6755784~Oct 23, 2020~~~U-371~
N~020785~003~6755784~Oct 23, 2020~~~U-731~
N~020785~003~6869399~Oct 23, 2020~~~U-371~
N~020785~003~6869399~Oct 23, 2020~~~U-733~
N~020785~003~6869399~Oct 23, 2020~~~U-732~
N~020785~003~6869399~Oct 23, 2020~~~U-731~
N~020785~003~6908432~Aug 28, 2018~~~U-731~
